p0,p1,p2,p3,p4,p5,size,objective,source,id,filename,speedup
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8.0,64.0,128.0,L,0.5455915,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_014.c,mmp_014,0.35892604631853686
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8.0,32.0,16.0,L,0.6561895000000001,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_015.c,mmp_015,0.29843056007449065
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,64.0,128.0,L,0.484124,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_016.c,mmp_016,0.40449760805082996
 , , ,8.0,64.0,128.0,L,0.6257365,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_017.c,mmp_017,0.31295441451793204
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,16.0,128.0,L,0.488372,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_018.c,mmp_018,0.40097917161508034
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,64.0,128.0,L,0.2123185,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_019.c,mmp_019,0.9223265989539301
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,100.0,128.0,L,0.213394,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_020.c,mmp_020,0.9176780977909407
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,16.0,128.0,L,0.2287035,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_021.c,mmp_021,0.856248373986406
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,32.0,128.0,L,0.203465,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_022.c,mmp_022,0.9624603740201018
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,128.0,128.0,L,0.212337,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_023.c,mmp_023,0.922246240645766
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8.0,80.0,128.0,L,0.2184105,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_024.c,mmp_024,0.8966006670924703
